STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL_CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL_VOTES,POSTAL_VOTES,TOTAL_VOTES,OVER_TOTAL_ELECTORS_IN_CONSTITUENCY,OVER_TOTAL_VOTES_POLLED_IN_CONSTITUENCY,TOTAL_ELECTORS,LITERATE
TELANGANA,ADILABAD,SOYAM BAPU RAO,1,BJP,LOTUS,MALE,52,52,ST,12th Pass,3099414,231450,376892,482,377374,25.33068419,35.4682479,1489790,Literate
TELANGANA,ADILABAD,Godam Nagesh,0,TRS,CAR,MALE,0,54,ST,Post Graduate,18477888,847000,318665,149,318814,21.39992885,29.96436953,1489790,Literate
TELANGANA,ADILABAD,RATHOD RAMESH,0,INC,HAND,MALE,3,52,ST,12th Pass,36491000,15300000,314057,181,314238,21.09277146,29.53428505,1489790,Literate
TELANGANA,ADILABAD,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,13030,6,13036,0.875022654,1.225214455,1489790,Not Available
UTTAR PRADESH,AGRA,Satyapal Singh Baghel,1,BJP,LOTUS,MALE,5,58,SC,Doctorate,74274036,8606522,644459,2416,646875,33.38382301,56.46461464,1937690,Literate
UTTAR PRADESH,AGRA,Manoj Kumar Soni,0,BSP,ELEPHANT,MALE,0,47,SC,Post Graduate,133784385,22251891,434199,1130,435329,22.46639039,37.99912537,1937690,Literate
UTTAR PRADESH,AGRA,Preeta Harit,0,INC,HAND,FEMALE,0,54,SC,Post Graduate,55075753,0,44877,272,45149,2.330042473,3.940979148,1937690,Literate
MAHARASHTRA,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,BJP,LOTUS,MALE,0,37,GENERAL,Doctorate,168664576,2623964,696961,7699,704660,37.85653348,58.42515898,1861396,Literate
MAHARASHTRA,AHMADNAGAR,SANGRAM ARUNKAKA JAGTAP,0,NCP,CLOCK,MALE,1,34,GENERAL,Graduate,94488381,32549132,419364,3822,423186,22.73487211,35.08743129,1861396,Literate
MAHARASHTRA,AHMADNAGAR,SUDHAKAR LAXMAN AVHAD,0,VBA,CUP & SAUCER,MALE,0,62,GENERAL,Graduate,13949000,1400000,31644,163,31807,1.708771266,2.637199546,1861396,Literate
GUJARAT,AHMEDABAD EAST,Patel Hasmukhbhai Somabhai,1,BJP,LOTUS,MALE,0,58,GENERAL,Not Available,74699690,6252577,745810,4024,749834,41.3849704,67.00546171,1811851,Not Available
GUJARAT,AHMEDABAD EAST,Gitaben Patel,0,INC,HAND,FEMALE,6,38,GENERAL,10th Pass,40375418,3121888,312883,2621,315504,17.41335242,28.19356176,1811851,Literate
GUJARAT,AHMEDABAD WEST,DR. KIRIT P. SOLANKI,1,BJP,LOTUS,MALE,0,69,SC,Post Graduate,89474039,0,638241,3381,641622,39.04432316,64.21145018,1643317,Literate
GUJARAT,AHMEDABAD WEST,RAJU PARMAR,0,INC,HAND,MALE,0,68,SC,Graduate,262997727,18943977,317797,2279,320076,19.47743497,32.03216867,1643317,Literate
GUJARAT,AHMEDABAD WEST,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,14580,139,14719,0.895688416,1.473029814,1643317,Not Available
GUJARAT,AHMEDABAD WEST,TRIBHOVANDAS KARSANDAS VAGHELA,0,BSP,ELEPHANT,MALE,0,66,SC,8th Pass,5354000,0,9909,119,10028,0.610229189,1.003569738,1643317,Literate
RAJASTHAN,AJMER,Bhagirath Chaudhary,1,BJP,LOTUS,MALE,0,64,GENERAL,12th Pass,85101774,8319942,811091,3985,815076,43.4395362,64.52234957,1876346,Literate
RAJASTHAN,AJMER,Riju Jhunjhunwala,0,INC,HAND,MALE,0,40,GENERAL,Graduate,853998231,306012685,397420,1232,398652,21.24618807,31.55774885,1876346,Literate
RAJASTHAN,AJMER,Durga Lal Regar,0,BSP,ELEPHANT,MALE,0,60,SC,Post Graduate,41740458,890000,13547,71,13618,0.725772326,1.078016475,1876346,Literate
RAJASTHAN,AJMER,Vishram Babu,0,APOI,COAT,MALE,0,60,SC,Post Graduate,25792244,268705,13036,5,13041,0.695021068,1.032340494,1876346,Literate
UTTAR PRADESH,AKBARPUR,Devendra Singh 'Bhole',1,BJP,LOTUS,MALE,0,64,GENERAL,10th Pass,28546617,559965,577603,3679,581282,32.91292046,56.62023333,1766121,Literate
UTTAR PRADESH,AKBARPUR,Nisha Sachan,0,BSP,ELEPHANT,FEMALE,0,46,GENERAL,Post Graduate,134448979,13619617,304553,1587,306140,17.33403317,29.81980903,1766121,Literate
UTTAR PRADESH,AKBARPUR,Rajaram Pal,0,INC,HAND,MALE,1,58,GENERAL,Graduate,19097262,8600000,107592,749,108341,6.134404155,10.55304086,1766121,Literate
MAHARASHTRA,AKOLA,Dhotre Sanjay Shamrao,1,BJP,LOTUS,MALE,1,60,GENERAL,Graduate,77153230,14985774,552898,1546,554444,29.72620712,49.49575293,1865169,Literate
MAHARASHTRA,AKOLA,Ambedkar (Adv) Prakash Yashwant,0,VBA,CUP & SAUCER,MALE,0,64,GENERAL,Graduate,58722916,0,278241,607,278848,14.95028064,24.89303106,1865169,Literate
MAHARASHTRA,AKOLA,Hidayatullah Barakatullah Patel,0,INC,HAND,MALE,1,60,GENERAL,10th Pass,14947292,483635,254094,276,254370,13.63790627,22.70785629,1865169,Literate
KERALA,ALAPPUZHA,Adv. A M ARIFF,1,CPI(M),"HAMMER, SICKLE AND STAR",MALE,2,54,GENERAL,Graduate,15268906,2220700,443003,2967,445970,32.87164969,40.91047525,1356701,Literate
KERALA,ALAPPUZHA,Adv. SHANIMOL OSMAN,0,INC,HAND,FEMALE,0,52,GENERAL,Post Graduate,18665943,825000,433790,1706,435496,32.09962991,39.94965655,1356701,Literate
KERALA,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,0,BJP,LOTUS,MALE,1,64,GENERAL,Doctorate,16484722,0,186278,1451,187729,13.83716825,17.22107453,1356701,Literate
KERALA,ALATHUR,RAMYA HARIDAS,1,INC,HAND,FEMALE,3,32,SC,10th Pass,1152816,0,532493,1322,533815,42.13905339,52.36684011,1266794,Literate
KERALA,ALATHUR,DR. P.K.BIJU,0,CPI(M),"HAMMER, SICKLE AND STAR",MALE,0,44,SC,Doctorate,4083003,519379,373696,1151,374847,29.59020962,36.77220182,1266794,Literate
KERALA,ALATHUR,T.V.BABU,0,BDJS,POT,MALE,4,61,SC,10th Pass,1261055,685000,89575,262,89837,7.091681836,8.812940466,1266794,Literate
UTTAR PRADESH,ALIGARH,SATISH KUMAR GAUTAM,1,BJP,LOTUS,MALE,0,46,GENERAL,10th Pass,109522559,28095176,651805,4410,656215,34.77322936,56.37828085,1887127,Literate
UTTAR PRADESH,ALIGARH,DR. AJEET BALIYAN,0,BSP,ELEPHANT,MALE,0,51,GENERAL,Doctorate,281852783,0,424890,2064,426954,22.62455044,36.68147257,1887127,Literate
UTTAR PRADESH,ALIGARH,BIJENDRA SINGH CHAUDHARY,0,INC,HAND,MALE,4,62,GENERAL,Graduate,12863000,4273034,50346,534,50880,2.696161944,4.371321792,1887127,Literate
WEST BENGAL,ALIPURDUARS,JOHN BARLA,1,BJP,LOTUS,MALE,9,43,ST,8th Pass,1418730,0,747788,3016,750804,45.54790968,54.35976298,1648383,Literate
WEST BENGAL,ALIPURDUARS,DASRATH TIRKEY,0,AITC,FLOWERS AND GRASS,MALE,0,52,ST,Graduate,9039609,581713,505885,930,506815,30.74619187,36.69445458,1648383,Literate
WEST BENGAL,ALIPURDUARS,MILI ORAON,0,RSP,SPADE & STOKER,FEMALE,0,42,ST,Post Graduate,2804955,304672,53859,151,54010,3.276544347,3.910435745,1648383,Literate
WEST BENGAL,ALIPURDUARS,MOHANLAL BASUMATA,0,INC,HAND,MALE,0,44,ST,Graduate,2320328,659760,27279,148,27427,1.66387302,1.985771545,1648383,Literate
WEST BENGAL,ALIPURDUARS,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,21147,28,21175,1.284592234,1.53311381,1648383,Not Available
UTTAR PRADESH,ALLAHABAD,Rita Bahuguna Joshi,1,BJP,LOTUS,FEMALE,6,69,GENERAL,Doctorate,26919330,1600000,493204,1250,494454,28.81164926,55.5845464,1716160,Literate
UTTAR PRADESH,ALLAHABAD,Rajendra Singh Patel,0,SP,BICYCLE,MALE,0,63,GENERAL,Graduate,292681002,0,309328,851,310179,18.07401408,34.86908593,1716160,Literate
UTTAR PRADESH,ALLAHABAD,Yogesh Shukla,0,INC,HAND,MALE,1,49,GENERAL,12th Pass,4200199,0,31852,101,31953,1.861889334,3.592028805,1716160,Literate
UTTAR PRADESH,ALLAHABAD,Girdhar Gopal Tripathi,0,CPI(M),EARS OF CORN AND SICKLE,MALE,0,77,GENERAL,Post Graduate,31397972,308458,10397,6,10403,0.606178911,1.169463764,1716160,Literate
UTTARAKHAND,ALMORA,Ajay Tamta,1,BJP,LOTUS,MALE,0,46,SC,12th Pass,9910448,55845,430455,14196,444651,33.23728069,63.53909006,1337808,Literate
UTTARAKHAND,ALMORA,Pradeep Tamta,0,INC,HAND,MALE,1,60,SC,Post Graduate,13293598,2500000,209836,1829,211665,15.82177712,30.24619645,1337808,Literate
UTTARAKHAND,ALMORA,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,15311,194,15505,1.158985445,2.215610876,1337808,Not Available
UTTARAKHAND,ALMORA,Sunder Dhoni (Advocate),0,BSP,ELEPHANT,MALE,0,41,SC,Post Graduate,2870000,1500000,10059,131,10190,0.761693756,1.456115758,1337808,Literate
RAJASTHAN,ALWAR,Balak Nath,1,BJP,LOTUS,MALE,0,35,GENERAL,10th Pass,352929,0,750580,9621,760201,40.25371136,59.93021553,1888524,Literate
RAJASTHAN,ALWAR,Bhanwar Jitendra Singh,0,INC,HAND,MALE,2,47,GENERAL,Graduate,136542038,0,426794,3436,430230,22.78128316,33.91705171,1888524,Literate
RAJASTHAN,ALWAR,Imran Khan,0,BSP,ELEPHANT,MALE,0,31,GENERAL,10th Pass,16328526,5844684,56399,250,56649,2.999644167,4.465906753,1888524,Literate
ANDHRA PRADESH,AMALAPURAM,CHINTA ANURADHA,1,YSRCP,CEILING FAN,FEMALE,0,46,SC,Graduate,85993362,2431407,482003,3955,485958,33.29491982,39.33710441,1459556,Literate
ANDHRA PRADESH,AMALAPURAM,GANTI HARISH MADHUR (BALAYOGI),0,TDP,BICYCLE,MALE,0,28,SC,Graduate,73049918,1537488,443590,2573,446163,30.56840573,36.11579707,1459556,Literate
ANDHRA PRADESH,AMALAPURAM,D M R SEKHAR,0,JNP,GLASS TUMBLER,MALE,1,59,SC,Post Graduate,28930012,0,253740,1577,255317,17.49278548,20.66728295,1459556,Literate
ANDHRA PRADESH,AMALAPURAM,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,16427,41,16468,1.128288329,1.333044081,1459556,Not Available
HARYANA,AMBALA,RATTAN LAL KATARIA,1,BJP,LOTUS,MALE,0,67,SC,Post Graduate,54361499,188861,744438,2070,746508,40.27100233,56.64280587,1853711,Literate
HARYANA,AMBALA,SELJA,0,INC,HAND,FEMALE,0,56,SC,Post Graduate,240508152,0,403678,485,404163,21.80291318,30.66668589,1853711,Literate
HARYANA,AMBALA,NARESH KUMAR,0,BSP,ELEPHANT,MALE,0,55,SC,10th Pass,38090737,73613,96205,91,96296,5.194768764,7.30665396,1853711,Literate
HARYANA,AMBALA,RAM PAL,0,INLD,SPECTACLES,MALE,1,61,SC,10th Pass,4415779,0,19518,57,19575,1.05598985,1.485292756,1853711,Literate
UTTAR PRADESH,AMBEDKAR NAGAR,Ritesh Pandey,1,BSP,ELEPHANT,MALE,1,38,GENERAL,Graduate,307265103,24739098,563445,673,564118,31.59162146,51.7247608,1785657,Literate
UTTAR PRADESH,AMBEDKAR NAGAR,Mukut Bihari,0,BJP,LOTUS,MALE,0,71,GENERAL,Graduate,24116406,12848,467287,951,468238,26.22216921,42.93339079,1785657,Literate
UTTAR PRADESH,AMBEDKAR NAGAR,Rakesh,0,SBSP,WALKING STICK,MALE,0,36,GENERAL,12th Pass,2137783,0,15164,3,15167,0.849379248,1.390683238,1785657,Literate
UTTAR PRADESH,AMBEDKAR NAGAR,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,11329,15,11344,0.63528438,1.040147073,1785657,Not Available
UTTAR PRADESH,AMETHI,Smriti Irani,1,BJP,LOTUS,FEMALE,0,43,GENERAL,12th Pass,111099609,0,467598,916,468514,26.87180781,49.68566932,1743515,Literate
UTTAR PRADESH,AMETHI,Rahul Gandhi,0,INC,HAND,MALE,6,48,GENERAL,Post Graduate,158877063,7201904,412867,527,413394,23.71037817,43.8402216,1743515,Literate
MAHARASHTRA,AMRAVATI,Navnit Ravi Rana,1,IND,SPANNER,FEMALE,1,33,SC,10th Pass,124554656,70576979,507844,3103,510947,27.87352074,45.87203159,1833091,Literate
MAHARASHTRA,AMRAVATI,Adsul Anandrao Vithoba,0,SHS,BOW AND ARROW,MALE,2,71,SC,Graduate,44015877,8545894,470549,3447,473996,25.8577452,42.55462794,1833091,Literate
MAHARASHTRA,AMRAVATI,Gunwant Deopare,0,VBA,WHISTLE,MALE,2,47,SC,Not Available,351944996,79139288,64585,550,65135,3.553287862,5.847719582,1833091,Not Available
MAHARASHTRA,AMRAVATI,Arun Motiramji Wankhade,0,BSP,ELEPHANT,MALE,3,56,SC,12th Pass,338097138,6600000,12232,104,12336,0.672961681,1.107507005,1833091,Literate
GUJARAT,AMRELI,Kachhadiya Naranbhai Bhikhabhai,1,BJP,LOTUS,MALE,0,64,GENERAL,12th Pass,35900763,828961,527593,1442,529035,32.48700759,58.0436736,1628451,Literate
GUJARAT,AMRELI,Paresh Dhanani,0,INC,HAND,MALE,0,42,GENERAL,Graduate,14342991,0,326781,823,327604,20.11752273,35.94344353,1628451,Literate
GUJARAT,AMRELI,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,17513,54,17567,1.07875521,1.927383281,1628451,Not Available
GUJARAT,AMRELI,Chauhan Ravjibhai Mulabhai,0,BSP,ELEPHANT,MALE,0,47,SC,Literate,133189,0,9664,27,9691,0.59510541,1.06325903,1628451,Literate
PUNJAB,AMRITSAR,GURJEET SINGH AUJLA,1,INC,HAND,MALE,0,46,GENERAL,12th Pass,34011739,9031565,444052,980,445032,29.51385228,51.71291057,1507875,Literate
PUNJAB,AMRITSAR,HARDEEP SINGH PURI,0,BJP,LOTUS,MALE,0,67,GENERAL,Post Graduate,340505737,57940950,344049,1357,345406,22.90680594,40.13632635,1507875,Literate
PUNJAB,AMRITSAR,KULDIP SINGH DHALIWAL,0,AAP,BROOM,MALE,0,58,GENERAL,10th Pass,14878922,2789687,19800,287,20087,1.3321396,2.334118074,1507875,Literate
PUNJAB,AMRITSAR,DASWINDER KAUR,0,CPI(M),EARS OF CORN AND SICKLE,FEMALE,0,55,GENERAL,Graduate,661000,0,16278,57,16335,1.083312609,1.898134053,1507875,Literate
PUNJAB,AMRITSAR,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,8713,50,8763,0.581148968,1.018264384,1507875,Not Available
UTTAR PRADESH,AMROHA,KUNWAR DANISH ALI,1,BSP,ELEPHANT,MALE,0,43,GENERAL,Graduate,74920879,19579691,600744,338,601082,36.50809173,51.38533401,1646435,Literate
UTTAR PRADESH,AMROHA,KANWAR SINGH TANWAR,0,BJP,LOTUS,MALE,0,58,GENERAL,8th Pass,1821251171,10700504,536380,1454,537834,32.66657961,45.9783852,1646435,Literate
UTTAR PRADESH,AMROHA,SACHIN CHOUDHARY,0,INC,HAND,MALE,0,35,GENERAL,12th Pass,27003125,12293421,12454,56,12510,0.759823497,1.069455629,1646435,Literate
ANDHRA PRADESH,ANAKAPALLI,Dr.Beesetti Venkata Satyavathi,1,YSRCP,CEILING FAN,FEMALE,0,52,GENERAL,Graduate,91526244,11139279,583210,3016,586226,38.5329471,47.25891124,1521363,Literate
ANDHRA PRADESH,ANAKAPALLI,ADARI ANAND KUMAR,0,TDP,BICYCLE,MALE,0,43,GENERAL,10th Pass,410547212,205591400,495381,1653,497034,32.67030945,40.06865217,1521363,Literate
ANDHRA PRADESH,ANAKAPALLI,Chintala Partha Sarathi,0,JNP,GLASS TUMBLER,MALE,0,56,GENERAL,Post Graduate,335308506,110928567,82126,462,82588,5.428553212,6.657874201,1521363,Literate
ANDHRA PRADESH,ANAKAPALLI,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,34877,20,34897,2.29379839,2.813239647,1521363,Not Available
ANDHRA PRADESH,ANAKAPALLI,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),0,BJP,LOTUS,MALE,0,65,GENERAL,Post Graduate,57688924,9497894,12888,388,13276,0.872638548,1.070251585,1521363,Literate
GUJARAT,ANAND,PATEL MITESH RAMESHBHAI (BAKABHAI),1,BJP,LOTUS,MALE,2,54,GENERAL,Not Available,77043053,7810840,631581,1516,633097,38.23349659,57.03144987,1655870,Not Available
GUJARAT,ANAND,BHARATBHAI MADHAVSINH SOLANKI,0,INC,HAND,MALE,0,65,GENERAL,Graduate,54490955,1934855,434006,1373,435379,26.29306648,39.22036531,1655870,Literate
GUJARAT,ANAND,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,18365,27,18392,1.110715213,1.656811557,1655870,Not Available
PUNJAB,ANANDPUR SAHIB,Manish Tewari,1,INC,HAND,MALE,0,53,GENERAL,Graduate,154637860,0,426904,1141,428045,25.1957765,39.55965857,1698876,Literate
PUNJAB,ANANDPUR SAHIB,Professor Prem Singh Chandumajra,0,SAD,SCALES,MALE,1,69,GENERAL,Post Graduate,126971695,0,379552,1609,381161,22.4360695,35.2266678,1698876,Literate
PUNJAB,ANANDPUR SAHIB,Sodhi Vikram Singh,0,BSP,ELEPHANT,MALE,0,62,GENERAL,Graduate,1408265156,3400824,146077,364,146441,8.61987573,13.53398816,1698876,Literate
PUNJAB,ANANDPUR SAHIB,Narinder Singh Shergill,0,AAP,BROOM,MALE,1,51,GENERAL,Post Graduate,255712677,23667368,52539,513,53052,3.122770585,4.903033574,1698876,Literate
PUNJAB,ANANDPUR SAHIB,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,17069,66,17135,1.008608044,1.583606279,1698876,Not Available
ANDHRA PRADESH,ANANTAPUR,TALARI RANGAIAH,1,YSRCP,CEILING FAN,MALE,2,48,GENERAL,Doctorate,11773091,1135547,690901,4307,695208,41.77531007,51.5689326,1664160,Literate
ANDHRA PRADESH,ANANTAPUR,J.C. PAVAN REDDY,0,TDP,BICYCLE,MALE,0,45,GENERAL,Graduate,373887429,84550726,550597,3183,553780,33.27684838,41.07812841,1664160,Literate
ANDHRA PRADESH,ANANTAPUR,K.RAJIV REDDY,0,INC,HAND,MALE,0,29,GENERAL,Graduate,7264263,1700000,29994,85,30079,1.807458417,2.231191131,1664160,Literate
ANDHRA PRADESH,ANANTAPUR,D.JAGADEESH,0,CPI(M),EARS OF CORN AND SICKLE,MALE,9,58,GENERAL,8th Pass,25613277,2761973,20192,102,20294,1.219474089,1.505362306,1664160,Literate
ANDHRA PRADESH,ANANTAPUR,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,16406,60,16466,0.98944813,1.221410059,1664160,Not Available
JAMMU & KASHMIR,ANANTNAG,HASNAIN MASOODI,1,JKN,PLOUGH,MALE,0,65,GENERAL,Post Graduate,87620672,0,40032,148,40180,2.874560285,32.02486749,1397779,Literate
JAMMU & KASHMIR,ANANTNAG,GHULAM AHMAD MIR,0,INC,HAND,MALE,0,60,GENERAL,Graduate,140146018,0,32879,625,33504,2.39694544,26.70386163,1397779,Literate
JAMMU & KASHMIR,ANANTNAG,MEHBOOBA MUFTI,0,JKPDP,INK POT & PEN,FEMALE,1,59,GENERAL,Graduate,8903857,0,30223,301,30524,2.183750078,24.32869725,1397779,Literate
JAMMU & KASHMIR,ANANTNAG,SOFI YOUSUF,0,BJP,LOTUS,MALE,1,53,GENERAL,Illiterate,11710000,0,9687,538,10225,0.731517643,8.149683179,1397779,Illiterate
JAMMU & KASHMIR,ANANTNAG,CH. ZAFFAR ALI,0,JPC,APPLE,MALE,0,60,ST,8th Pass,23265829,202000,1629,17,1646,0.117758244,1.311919659,1397779,Literate
JAMMU & KASHMIR,ANANTNAG,GH. MOHD. WANI,0,IND,TABLE,MALE,0,45,GENERAL,12th Pass,31000,0,1365,4,1369,0.097941091,1.091140956,1397779,Literate
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,KULDEEP RAI SHARMA,1,INC,HAND,MALE,0,52,GENERAL,Graduate,132233012,80450870,95249,59,95308,29.92674372,45.95415578,318471,Literate
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,VISHAL JOLLY,0,BJP,LOTUS,MALE,1,46,GENERAL,Graduate,85140573,4633914,93772,129,93901,29.48494525,45.27575001,318471,Literate
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,PARITOSH KUMAR HALDAR,0,IND,HELICOPTER,MALE,0,61,GENERAL,Post Graduate,19916000,1311000,5339,2,5341,1.677075778,2.575241806,318471,Literate
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,SANJAY MESHACK,0,AAP,BROOM,MALE,0,49,GENERAL,12th Pass,99887782,1791076,2837,2,2839,0.891446945,1.368865659,318471,Literate
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,PRAKASH MINJ,0,BSP,ELEPHANT,MALE,0,43,SC,Post Graduate,1250000,240000,2478,8,2486,0.780604827,1.198661511,318471,Literate
UTTAR PRADESH,AONLA,DHARMENDRA KASHYAP,1,BJP,LOTUS,MALE,0,50,GENERAL,10th Pass,21766502,3324300,536377,1298,537675,30.11164283,51.06600614,1785605,Literate
UTTAR PRADESH,AONLA,RUCHIVIRA,0,BSP,ELEPHANT,FEMALE,1,57,GENERAL,Graduate,241164456,2100000,423100,832,423932,23.74164499,40.26319638,1785605,Literate
UTTAR PRADESH,AONLA,KUNWAR SARVARAJ SINGH,0,INC,HAND,MALE,0,64,GENERAL,Graduate,41189445,0,62407,141,62548,3.502902378,5.940533877,1785605,Literate
TAMIL NADU,ARAKKONAM,S. JAGATHRAKSHAKAN,1,DMK,RISING SUN,MALE,2,71,GENERAL,10th Pass,1146984897,166365972,666688,5502,672190,44.81218867,56.97916102,1500016,Literate
TAMIL NADU,ARAKKONAM,A.K. MOORTHY,0,PMK,MANGO,MALE,6,55,GENERAL,Post Graduate,46023417,7710578,341527,1707,343234,22.88202259,29.0947282,1500016,Literate
TAMIL NADU,ARAKKONAM,N.G. PARTHIBAN,0,IND,GIFT PACK,MALE,0,43,GENERAL,8th Pass,133000,0,66595,231,66826,4.455019146,5.664602886,1500016,Literate
TAMIL NADU,ARAKKONAM,Y.R. PAVENDHAN,0,NTK,GANNA KISAN,MALE,0,40,GENERAL,Post Graduate,3520000,0,29065,282,29347,1.956445798,2.487641051,1500016,Literate
TAMIL NADU,ARAKKONAM,"RAJENDRAN, N.",0,MNM,BATTERY TORCH,MALE,0,61,GENERAL,Post Graduate,10961100,0,23598,173,23771,1.58471643,2.014983318,1500016,Literate
TAMIL NADU,ARAKKONAM,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,12015,164,12179,0.811924673,1.032370612,1500016,Not Available
WEST BENGAL,ARAMBAGH,APARUPA PODDAR (AFRIN ALI),1,AITC,FLOWERS AND GRASS,FEMALE,1,33,SC,Post Graduate,12527597,4244000,649613,316,649929,36.82889015,44.13893194,1764726,Literate
WEST BENGAL,ARAMBAGH,TAPAN KUMAR RAY,0,BJP,LOTUS,MALE,1,55,SC,Post Graduate,2014593,1875000,647755,1032,648787,36.76417756,44.06137476,1764726,Literate
WEST BENGAL,ARAMBAGH,SAKTI MOHAN MALIK,0,CPI(M),"HAMMER, SICKLE AND STAR",MALE,2,59,SC,Post Graduate,10448352,17324,100373,147,100520,5.696068398,6.826661741,1764726,Literate
WEST BENGAL,ARAMBAGH,JYOTI KUMARI DAS,0,INC,HAND,FEMALE,0,41,SC,Graduate,12069004,2996520,25094,34,25128,1.423903767,1.706529608,1764726,Literate
WEST BENGAL,ARAMBAGH,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,20484,11,20495,1.161370094,1.391886514,1764726,Not Available
TAMIL NADU,ARANI,VISHNU PRASAD M K,1,INC,HAND,MALE,1,46,GENERAL,Graduate,234564815,33409505,613390,4370,617760,42.62912742,53.9567497,1449150,Literate
TAMIL NADU,ARANI,ELUMALAI V,0,AIADMK,TWO LEAVES,MALE,0,63,GENERAL,Graduate,111158268,1884554,385294,1660,386954,26.70213573,33.79755912,1449150,Literate
TAMIL NADU,ARANI,SENTHAMIZHAN G,0,IND,GIFT PACK,MALE,0,55,GENERAL,Post Graduate,22006894,11328495,46326,57,46383,3.200703861,4.051210699,1449150,Literate
TAMIL NADU,ARANI,TAMIZHARASI A,0,NTK,GANNA KISAN,FEMALE,0,37,GENERAL,Post Graduate,2934243,0,32151,258,32409,2.23641445,2.830685543,1449150,Literate
TAMIL NADU,ARANI,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,16819,102,16921,1.167650002,1.477923727,1449150,Not Available
TAMIL NADU,ARANI,SHAJI V,0,MNM,BATTERY TORCH,MALE,0,41,GENERAL,8th Pass,44642380,20565404,14680,96,14776,1.019632198,1.290573902,1449150,Literate
BIHAR,ARARIA,PRADEEP KUMAR SINGH,1,BJP,LOTUS,MALE,3,52,GENERAL,10th Pass,5010577,1159200,618004,430,618434,34.25394045,52.86931039,1805439,Literate
BIHAR,ARARIA,SARFARAZ ALAM,0,RJD,HURRICANE LAMP,MALE,6,50,GENERAL,Graduate,76618366,8566199,481120,73,481193,26.65240975,41.13671317,1805439,Literate
BIHAR,ARARIA,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,20606,12,20618,1.14199372,1.762612407,1805439,Not Available
BIHAR,ARRAH,R. K. Singh,1,BJP,LOTUS,MALE,1,66,GENERAL,Graduate,79971720,0,560106,6374,566480,27.11269948,52.33245632,2089353,Literate
BIHAR,ARRAH,Raju Yadav,0,CPI(ML)(L),FLAG WITH THREE STARS,MALE,1,36,GENERAL,Post Graduate,682315,0,418266,929,419195,20.06338804,38.7259992,2089353,Literate
BIHAR,ARRAH,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,21763,62,21825,1.044581744,2.016233334,2089353,Not Available
BIHAR,ARRAH,Shiv das Singh,0,IND,FOOTBALL,MALE,0,81,GENERAL,12th Pass,3196572,0,13768,5,13773,0.659199283,1.272374878,2089353,Literate
BIHAR,ARRAH,Raj Giri Bhagat,0,SSD,SAW,MALE,0,70,GENERAL,12th Pass,4437819,0,12592,6,12598,0.602961778,1.163826233,2089353,Literate
ANDHRA PRADESH,ARUKU,GODDETI. MADHAVI,1,YSRCP,CEILING FAN,FEMALE,0,26,ST,Graduate,141179,0,557561,4629,562190,38.73384511,52.13983965,1451418,Literate
ANDHRA PRADESH,ARUKU,KISHORE CHANDRA DEO,0,TDP,BICYCLE,MALE,0,72,ST,Post Graduate,65729020,0,336163,1938,338101,23.2945299,31.35689344,1451418,Literate
ANDHRA PRADESH,ARUKU,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,47955,22,47977,3.305526044,4.449586593,1451418,Not Available
ANDHRA PRADESH,ARUKU,GANGULAIAH VAMPURU.,0,JNP,GLASS TUMBLER,MALE,3,49,ST,10th Pass,2567059,320000,42245,549,42794,2.948426987,3.968893609,1451418,Literate
